gram_0,gram_1
like,far
everything,looks
remember,father
much,get
hard,place
love,cold
say,hard
hard,men
try,smiling
father,trust
says,reavers
matter,many
quit,talking
wives,iron
take,saltwives
charge,twice
please,accept
ramka,take
one,girl
ah,yes
sometimes,power
poor,little
know,remind
lovely,thing
yes,quite
girls,elysium
one,making
hate,bad
idea,make
idea,mitigate
wealthy,patron
let,transform
use,ways
know,occurs
say,succeeded
losses,definitely
leave,us
believe,know
prefer,improper
hmm,good
fine,dinner
call,tyrion
sure,getting
maybe,hire
wars,started
littlefinger,brothel
city,watch
realized,peace
especially,queen
never,said
else,would
always,jealous
heard,awful
suppose,people
consider,robert
throne,cersei
joffrey,king
men,slaughtered
idea,already
honor,questioned
questioning,honor
think,stand
yes,stand
unless,like
intend,serve
seeing,betrayed
well,feel
friends,court
fool,believe
shall,hear
ship,leaving
afraid,rather
hope,enjoy
found,surprisingly
brutal,horribly
streets,safe
command,arrest
name,bronn
king,made
told,murder
would,without
come,back
gendry,one
want,get
got,within
seen,lots
saw,man
stabbed,right
two,men
got,armor
dyer,apprentice
gendry,armorer
hot,pie
well,cause
idiot,buy
cause,sold
gold,clips
insult,people
get,insult
one,gets
good,ever
good,ever
someone,small
lord,arryn
lord,stark
probably,dead
could,one
think,stupid
well,pull
need,take
yoren,taking
mother,lady
lord,daughter
pissing,front
heir,pyke
living,son
need,get
need,someone
think,offer
things,sent
give,reins
horseback,last
hands,ever
never,sea
one,make
may,stay
offer,future
tell,grandchildren
imagine,story
took,frightened
lord,stark
brought,proposal
ned,stark
clothes,offend
bauble,around
pay,iron
pull,neck
buy,match
son,dressed
fears,come
blood,salt
yet,stark
offer,makes
lived,hunted
hearing,name
son,man
remember,father
destroy,robb
make,king
told,wait
get,past
anything,cock
homecoming,tell
sister,took
new,father
dead,may
night,spent
man,gives
pay,iron
stand,chance
said,anything
gold,take
kings,fighting
would,bet
stannis,proved
baby,brother
neither,false
yet,larger
stannis,begun
bannermen,rally
man,seven
world,coming
mind,words
every,time
promise,somewhere
somebody,got
promise,always
young,man
correct,wrong
want,spend
stealing,pentoshi
come,plunder
richest,man
singing,songs
salladhor,saan
one,thing
sail,fleet
drown,bottom
fuck,blonde
attacking,king
going,rape
never,tried
stannis,rightful
one,true
everywhere,go
think,found
one,true
better,yet
never,thought
believe,king
one,true
westerosers,funny
man,chops
sail,davos
honest,smuggler
get,gates
soon,god
let,teach
take,long
