season,episode,line_number,start_time,end_time,lines
2,1,80,"00:06:03,585","00:06:07,454","Well, enjoy your name day,
Your Grace.
"
2,1,81,"00:06:07,489","00:06:09,389","Wish I could stay
and celebrate,
"
2,1,82,"00:06:09,424","00:06:12,192","but there is work
to be done.
"
2,1,83,"00:06:12,226","00:06:14,227","What work?
"
2,1,84,"00:06:14,262","00:06:16,396","Why are you here?
"
2,1,85,"00:06:19,266","00:06:22,501","Pycelle: The raven arrived
from the Citadel
"
2,1,86,"00:06:22,535","00:06:25,671","- this morning, Your Grace.
-( Bird squawking )
"
2,1,87,"00:06:25,705","00:06:28,574","The conclave has met,
considered reports
"
2,1,88,"00:06:28,608","00:06:30,743","from Maesters all over
the Seven Kingdoms,
"
2,1,89,"00:06:30,778","00:06:34,213","<i>and declared</i>
<i>this great summer</i>
"
2,1,90,"00:06:34,247","00:06:37,049","done at last.
"
2,1,91,"00:06:37,084","00:06:39,886","The longest summer
in living memory.
"
2,1,92,"00:06:39,920","00:06:41,888","The peasants say,
a long summer means
"
2,1,93,"00:06:41,922","00:06:44,825","- <i>an even longer winter.</i>
- Pycelle: <i>A common superstition.</i>
"
2,1,94,"00:06:44,859","00:06:47,895","Littlefinger: <i>We have enough wheat</i>
<i>for a five-year winter.</i>
"
2,1,95,"00:06:47,929","00:06:50,197","If it lasts any longer,
"
2,1,96,"00:06:50,231","00:06:52,865","we'll have
fewer peasants.
"
2,1,97,"00:06:52,900","00:06:55,868","The city's drowning in refugees,
Your Grace, fleeing the war.
"
2,1,98,"00:06:55,902","00:06:57,369","We have nowhere
to house them.
"
2,1,99,"00:06:57,403","00:06:59,538","And with winter coming,
it'll only get worse.
"
2,1,100,"00:06:59,572","00:07:02,507","You command the City Watch,
do you not, Lord Slynt?
"
2,1,101,"00:07:04,010","00:07:05,877","<i>I do, Your Grace.</i>
"
2,1,102,"00:07:05,912","00:07:07,913","And are you not
a Lord at my command?
"
2,1,103,"00:07:07,947","00:07:11,450","I owe my title and lands
to your generosity, Your Grace.
"
2,1,104,"00:07:11,485","00:07:14,120","Then do your job.
Shut the gates to the peasants.
"
2,1,105,"00:07:14,154","00:07:17,089","They belong in the field,
not our capital.
"
2,1,106,"00:07:17,124","00:07:20,526","- Yes, Your Grace.
- <i>( Man whistling tune )</i>
"
2,1,107,"00:07:25,231","00:07:26,865","Don't get up.
"
2,1,108,"00:07:28,034","00:07:31,803","More ravishing than ever,
big sister.
"
2,1,109,"00:07:32,872","00:07:35,607","War agrees with you.
"
2,1,110,"00:07:35,642","00:07:38,543","Forgive the interruption.
Carry on.
"
2,1,111,"00:07:39,778","00:07:41,179","What are you doing here?
"
2,1,112,"00:07:41,213","00:07:44,915","Ah, it's been
a remarkable journey.
"
2,1,113,"00:07:44,949","00:07:48,619","I pissed off the edge
of the Wall,
"
2,1,114,"00:07:48,653","00:07:51,555","<i>I slept in a sky cell,</i>
"
2,1,115,"00:07:51,589","00:07:53,824","I fought with
the hill tribes--
"
2,1,116,"00:07:53,859","00:07:56,594","so many adventures,
"
2,1,117,"00:07:56,628","00:07:59,331","so much to be
thankful for.
"
2,1,118,"00:07:59,365","00:08:02,635","What are you doing here?
This is the small council.
"
2,1,119,"00:08:03,397","00:08:04,997","Yes. well I, do believe,
the Hand of the King,
"
2,1,120,"00:08:06,040","00:08:07,941","is welcome at all
small council meetings.
"
2,1,121,"00:08:07,975","00:08:09,977","Our father
is Hand of the King.
"
2,1,122,"00:08:10,011","00:08:13,047","Yes, but in his absence...
"
2,1,123,"00:08:20,221","00:08:22,456","Varys: <i>Your father has named</i>
<i>Lord Tyrion</i>
"
2,1,124,"00:08:22,491","00:08:25,226","to serve as Hand
in his stead while he fights.
"
2,1,125,"00:08:25,260","00:08:27,928","Out! All of you out!
"
2,1,126,"00:08:32,601","00:08:35,303","Cersei: I would like to know
how you tricked father into this.
"
2,1,127,"00:08:35,337","00:08:37,305","Tyrion: If I were capable
of tricking father,
"
2,1,128,"00:08:37,339","00:08:38,940","I'd be emperor
of the world by now.
"
2,1,129,"00:08:38,974","00:08:41,576","You brought this
on yourself.
"
2,1,130,"00:08:41,610","00:08:43,077","I've done nothing.
"
2,1,131,"00:08:43,112","00:08:44,979","Quite right--
you did nothing
"
2,1,132,"00:08:45,014","00:08:47,381","when your son called
for Ned Stark's head.
"
2,1,133,"00:08:47,416","00:08:49,383","Now the entire North
has risen up against us.
"
2,1,134,"00:08:49,418","00:08:51,886","- I tried to stop it.
- Did you? You failed.
"
2,1,135,"00:08:51,920","00:08:55,056","That bit of theater will haunt
our family for a generation.
"
2,1,136,"00:08:55,090","00:08:59,093","- Robb Stark is a child.
- Who's won every battle he's fought.
"
2,1,137,"00:08:59,127","00:09:01,329","Do you understand
we're losing the war?
"
2,1,138,"00:09:01,363","00:09:04,599","- What do you know about warfare?
- Nothing.
"
2,1,139,"00:09:04,633","00:09:06,401","But I know people.
"
2,1,140,"00:09:06,435","00:09:08,503","And I know that our enemies hate
each other
"
2,1,141,"00:09:08,537","00:09:11,439","almost as much
as they hate us.
"
2,1,142,"00:09:15,745","00:09:18,380","- Joffrey is King.
- Joffrey is King.
"
2,1,143,"00:09:18,414","00:09:20,949","You are here
to advise him.
"
2,1,144,"00:09:20,983","00:09:22,651","I'm only here
to advise him.
"
2,1,145,"00:09:22,685","00:09:25,220","And if the King listens
to what I say,
"
