season,episode,line_number,start_time,end_time,lines
2,3,334,"00:25:13,069","00:25:14,803","but the queen mustn't know.
"
2,3,335,"00:25:14,837","00:25:17,405","We can't have her
meddling in affairs
"
2,3,336,"00:25:17,440","00:25:18,785","that could determine
the future of the realm.
"
2,3,337,"00:25:18,810","00:25:20,010","There's too much at stake.
"
2,3,338,"00:25:20,176","00:25:23,144","Oh, yes, yes.
Indeed, yes.
"
2,3,339,"00:25:23,179","00:25:26,447","I shall be silent
as the grave.
"
2,3,340,"00:25:26,482","00:25:30,551","I'm brokering an alliance
with House Martell of Dorne.
"
2,3,341,"00:25:30,586","00:25:33,054","Princess Myrcella will wed
their youngest son
"
2,3,342,"00:25:33,088","00:25:36,024","when she comes of age,
ensuring their loyalty
"
2,3,343,"00:25:36,059","00:25:38,728","and their army
should we need it.
"
2,3,344,"00:25:38,762","00:25:42,733","Myrcella sent away
to Dorne?
"
2,3,345,"00:25:44,436","00:25:47,806","But remember,
the queen mustn't know.
"
2,3,346,"00:25:47,840","00:25:51,109","Ooh, ""the queen
mustn't know.""
"
2,3,347,"00:25:51,144","00:25:54,679","I love conversations
that begin this way.
"
2,3,348,"00:25:54,714","00:25:57,949","I plan to marry
Princess Myrcella off
"
2,3,349,"00:25:57,984","00:25:59,684","to Theon Greyjoy.
"
2,3,350,"00:26:01,254","00:26:03,455","Theon Greyjoy?
"
2,3,351,"00:26:03,489","00:26:06,224","Forgive me, My Lord,?
"
2,3,352,"00:26:06,258","00:26:09,127","He grew up a ward
of Winterfell.
"
2,3,353,"00:26:09,162","00:26:10,795","He fights
for Robb Stark.
"
2,3,354,"00:26:10,829","00:26:14,365","Precisely. Theon's father
loathes the Starks
"
2,3,355,"00:26:14,399","00:26:17,168","and will convince the boy
to come to our side.
"
2,3,356,"00:26:17,236","00:26:20,671","Greyjoy can destroy
the northern army from within
"
2,3,357,"00:26:20,706","00:26:23,240","<i>and we can have</i>
<i>his father's ships.</i>
"
2,3,358,"00:26:23,275","00:26:26,777","But remember,
you must tell no one.
"
2,3,359,"00:26:26,812","00:26:29,347","Tell no one what?
"
2,3,360,"00:26:29,381","00:26:33,351","I plan to wed Princess Myrcella to
Robin Arryn of the Vale.
"
2,3,361,"00:26:35,054","00:26:38,222","Lysa is not fond of me.
"
2,3,362,"00:26:38,257","00:26:40,592","But perhaps the promise
of a royal match
"
2,3,363,"00:26:40,626","00:26:43,861","will convince her
to let bygones be bygones.
"
2,3,364,"00:26:43,895","00:26:45,830","She imprisoned you.
"
2,3,365,"00:26:45,864","00:26:47,932","She tried
to execute you.
"
2,3,366,"00:26:47,966","00:26:50,901","And you offer
her son a princess?
"
2,3,367,"00:26:50,936","00:26:54,771","For men in our position,
holding grudges can be
"
2,3,368,"00:26:54,806","00:26:56,573","an encumbrance,
don't you think?
"
2,3,369,"00:26:56,608","00:27:00,978","And I suppose you want me
to broker this agreement?
"
2,3,370,"00:27:01,012","00:27:02,646","Who better?
"
2,3,371,"00:27:06,784","00:27:09,252","Yes, I could sing
this song to Lysa,
"
2,3,372,"00:27:09,286","00:27:11,521","if I cared to.
"
2,3,373,"00:27:11,555","00:27:13,757","What's in it
for me?
"
2,3,374,"00:27:15,627","00:27:17,896","The gratitude of
the people of Westeros
"
2,3,375,"00:27:17,930","00:27:19,631","for helping to end
this war,
"
2,3,376,"00:27:19,666","00:27:23,836","the adoration of the King for
bringing the Vale back into the fold...
"
2,3,377,"00:27:25,639","00:27:27,507","and Harrenhal.
"
2,3,378,"00:27:27,541","00:27:29,942","Harrenhal is cursed.
"
2,3,379,"00:27:29,977","00:27:31,878","Never took you
for a superstitious man.
"
2,3,380,"00:27:31,912","00:27:33,812","By all means,
tear it down and rebuild.
"
2,3,381,"00:27:33,847","00:27:35,614","You'll be able
to afford it.
"
2,3,382,"00:27:35,648","00:27:38,450","I plan to make you
Lord of the Riverlands.
"
2,3,383,"00:27:40,352","00:27:42,091","With a single stroke,
you'd make me one of the
"
2,3,384,"00:27:42,116","00:27:43,154","greatest lords in the realm.
"
2,3,385,"00:27:43,155","00:27:46,423","You served my family well
in the matter of the succession.
"
2,3,386,"00:27:46,458","00:27:49,660","So did Janos Slynt, and he
was given Harrenhal, too.
"
2,3,387,"00:27:49,694","00:27:52,596","Until you snatched it away.
"
2,3,388,"00:27:52,631","00:27:54,932","I need you to
deliver Lysa Arryn.
"
2,3,389,"00:27:54,966","00:27:57,702","I didn't need
Janos Slynt.
"
2,3,390,"00:28:00,106","00:28:02,574","<i>It's settled, then?</i>
"
2,3,391,"00:28:03,677","00:28:05,310","Good.
"
2,3,392,"00:28:07,547","00:28:09,748","Oh, and remember--
"
2,3,393,"00:28:09,783","00:28:11,617","the queen mustn't know.
"
2,3,394,"00:28:50,492","00:28:52,159","That must hurt.
"
2,3,395,"00:29:02,304","00:29:04,405","What?
"
2,3,396,"00:29:06,041","00:29:07,474","What is it?
"
2,3,397,"00:29:09,544","00:29:12,413","A member of the Kingsguard?
"
2,3,398,"00:29:12,447","00:29:15,283","As if I wasn't humiliated
enough already.
"
2,3,399,"00:29:17,586","00:29:21,823","Brienne is a very
capable warrior.
"
2,3,400,"00:29:23,025","00:29:25,393","And she's devoted to me.
"
2,3,401,"00:29:27,063","00:29:29,631","You're jealous.
"
2,3,402,"00:29:29,665","00:29:31,567","Jealous?
"
2,3,403,"00:29:31,601","00:29:33,769","Of Brienne the beauty?
"
2,3,404,"00:29:33,803","00:29:35,870","Don't make me laugh.
"
2,3,405,"00:29:37,507","00:29:41,242","- I'll make it up to you.
- No, Your Grace.
"
2,3,406,"00:29:42,378","00:29:44,579","Not tonight.
"
2,3,407,"00:29:44,614","00:29:47,248","There's another Tyrell
who requires your attention.
"
2,3,408,"00:29:47,283","00:29:48,983","You didn't win
my father's support
"
2,3,409,"00:29:49,018","00:29:51,152","or his army
on charm alone.
"
2,3,410,"00:30:04,800","00:30:08,569","Your vassals are starting
to snigger behind your back.
"
2,3,411,"00:30:08,603","00:30:11,572","Brides aren't usually virgins
two weeks after their wedding night.
"
2,3,412,"00:30:11,607","00:30:13,475","And Margaery's a virgin?
"
2,3,413,"00:30:13,509","00:30:15,711","Officially.
"
2,3,414,"00:30:17,046","00:30:19,081","Shall I bring her
to you?
"
2,3,415,"00:30:45,880","00:30:47,781","I should warn you,
"
2,3,416,"00:30:47,815","00:30:49,749","I've had quite
a bit of wine.
"
2,3,417,"00:30:49,784","00:30:52,319","As is your right.
You are a King.
"
2,3,418,"00:30:54,223","00:30:56,391","You look
very beautiful.
"
2,3,419,"00:30:56,425","00:30:58,292","Thank you,
Your Grace.
"
2,3,420,"00:30:58,327","00:31:02,264","- It's a lovely gown.
- <i>You think so?</i>
"
2,3,421,"00:31:02,298","00:31:05,034","I can't decide
how I like it better.
"
2,3,422,"00:31:05,069","00:31:07,170","This way...
"
2,3,423,"00:31:07,204","00:31:10,207","or this way.
"
2,3,424,"00:31:16,348","00:31:17,981","You certainly don't need it.
"
2,3,425,"00:31:19,617","00:31:21,085","Although...
"
2,3,426,"00:31:21,119","00:31:24,722","some say that
beauty most desired
"
2,3,427,"00:31:24,756","00:31:26,524","is the beauty concealed.
"
2,3,428,"00:31:42,976","00:31:45,211","Must be the wine.
"
2,3,429,"00:31:45,245","00:31:47,813","Here, let me.
"
2,3,430,"00:32:07,800","00:32:09,768","I'm sorry.
"
2,3,431,"00:32:09,802","00:32:11,970","Do you want my brother
to come in and help?
"
2,3,432,"00:32:14,974","00:32:17,376","- What?
- He could get you started.
"
2,3,433,"00:32:17,410","00:32:18,742","I know he wouldn't mind.
"
2,3,434,"00:32:18,767","00:32:21,346","Or I can turn over and you
can pretend I'm him.
"
2,3,435,"00:32:23,450","00:32:26,152","I don't know what
you're talking about.
"
2,3,436,"00:32:31,326","00:32:34,128","There's no need
for us to play games.
"
2,3,437,"00:32:34,163","00:32:37,365","Save your lies for court.
You're going to need a lot of them.
"
2,3,438,"00:32:55,985","00:32:58,886","Your enemies
aren't happy about us.
"
2,3,439,"00:32:58,921","00:33:01,255","They want to tear
us apart.
"
2,3,440,"00:33:01,290","00:33:04,358","And the best way
to stop them
"
2,3,441,"00:33:04,392","00:33:07,695","is to put your baby
"
2,3,442,"00:33:07,729","00:33:10,197","in my belly.
"
2,3,443,"00:33:13,100","00:33:15,603","We can try again later.
"
2,3,444,"00:33:15,637","00:33:17,505","You decide how
you want to do it--
"
2,3,445,"00:33:17,539","00:33:19,407","with me,
with me and Loras.
"
2,3,446,"00:33:19,441","00:33:21,910","However else you like.
"
2,3,447,"00:33:24,281","00:33:26,982","Whatever you need to do.
"
2,3,448,"00:33:28,985","00:33:32,288","You are a King.
"
2,3,449,"00:33:40,598","00:33:42,865","<i>You monster.</i>
"
2,3,450,"00:33:42,899","00:33:45,234","Myrcella is my only daughter.
"
2,3,451,"00:33:45,269","00:33:47,937","Do you really think I'll let you
sell her like a common whore?
"
2,3,452,"00:33:47,971","00:33:49,505","Myrcella's a Princess.
"
2,3,453,"00:33:49,539","00:33:51,173","Some would say
she was born for this.
"
2,3,454,"00:33:51,208","00:33:52,875","I will not let you
ship her off to Dorne
"
2,3,455,"00:33:52,943","00:33:55,044","as I was shipped off
to Robert Baratheon.
"
2,3,456,"00:33:55,078","00:33:57,379","Dorne is the safest place
or her.
"
2,3,457,"00:33:57,413","00:34:00,816","Are you mad?
The Martells loathe us.
"
2,3,458,"00:34:00,850","00:34:03,285","That's why we need
to seduce them.
"
2,3,459,"00:34:03,319","00:34:05,153","We're going to need
their support in the war
"
2,3,460,"00:34:05,188","00:34:07,055","your son started.
"
2,3,461,"00:34:07,090","00:34:09,324","- She'll be a hostage.
- A guest.
"
2,3,462,"00:34:09,359","00:34:11,961","You won't get away
with this.
"
2,3,463,"00:34:11,995","00:34:15,931","You think the piece of paper father
gave you keeps you safe.
"
2,3,464,"00:34:18,568","00:34:21,437","Ned Stark had a piece
of paper, too.
"
2,3,465,"00:34:23,039","00:34:25,807","- It's done, Cersei.
- No.
"
2,3,466,"00:34:25,842","00:34:30,045","- You cannot stop it.
- No!
"
2,3,467,"00:34:32,248","00:34:35,516","<i>Just how safe do you think</i>
<i>Myrcella is if this city falls?</i>
"
2,3,468,"00:34:35,550","00:34:39,386","Do you want to see her raped,
butchered like the Targaryen children?
"
2,3,469,"00:34:39,420","00:34:41,655","Make no mistake.
"
2,3,470,"00:34:41,689","00:34:44,291","They'll mount her pretty little head
on a spike right beside yours.
"
2,3,471,"00:34:44,325","00:34:46,626","Get out!
Get out!
"
2,3,472,"00:35:48,154","00:35:51,056","Theon of
the House Greyjoy,
"
2,3,473,"00:35:51,091","00:35:54,727","you would this day consecrate
your faith to the drowned God?
"
2,3,474,"00:36:02,704","00:36:05,540","- I would.
- <i>Kneel.</i>
"
2,3,475,"00:36:08,911","00:36:10,278","Let Theon,
your servant,
"
2,3,476,"00:36:10,313","00:36:13,482","be born again from
the sea as you were.
"
2,3,477,"00:36:13,516","00:36:16,251","Bless him with salt.
"
2,3,478,"00:36:18,588","00:36:21,423","Bless him with stone.
"
2,3,479,"00:36:21,458","00:36:23,225","Bless him with steel.
"
2,3,480,"00:36:28,432","00:36:30,533","What is dead
may never die.
"
2,3,481,"00:36:30,567","00:36:32,669","What is dead
may never die...
"
2,3,482,"00:36:34,138","00:36:37,807","But rises again
harder and stronger.
"
2,3,483,"00:36:37,842","00:36:39,943","Stand.
"
2,3,484,"00:37:08,742","00:37:13,312","I don't appreciate being
made a fool of, dwarf.
"
2,3,485,"00:37:13,347","00:37:14,847","If Myrcella marries
the Martell boy,
"
2,3,486,"00:37:14,881","00:37:17,115","she can't very well
marry Robin Arryn, can she?
"
2,3,487,"00:37:17,150","00:37:20,285","No, afraid not.
Sorry about that.
"
2,3,488,"00:37:20,319","00:37:22,120","And Harrenhal--
"
2,3,489,"00:37:22,154","00:37:25,223","I suppose that's
off the table as well.
"
2,3,490,"00:37:25,257","00:37:28,960","Yes, I fear so.
Sorry about that, too.
"
2,3,491,"00:37:28,994","00:37:31,161","Leave me out of your
next deception.
"
2,3,492,"00:37:31,196","00:37:33,197","Oh, that's a shame.
"
2,3,493,"00:37:33,231","00:37:36,533","You were to be the centerpiece of
my next deception.
"
2,3,494,"00:37:36,568","00:37:39,837","My brother Jaime rots
in a Northern stockade.
"
2,3,495,"00:37:39,872","00:37:42,073","I would see him released.
"
2,3,496,"00:37:42,107","00:37:43,574","That's where you come in.
"
2,3,497,"00:37:43,609","00:37:46,077","Robb Stark will never
release the Kingslayer.
"
2,3,498,"00:37:46,111","00:37:49,748","No, he won't.
But his mother might.
"
2,3,499,"00:37:49,782","00:37:52,685","How would you like to see
your beloved Cat again?
"
2,3,500,"00:37:56,290","00:37:58,391","- Find him?
- Oh, aye.
"
2,3,501,"00:37:58,426","00:38:00,360","And he has company.
"
2,3,502,"00:38:01,997","00:38:04,765","Filthy old stoat.
Almost hate to interrupt.
"
2,3,503,"00:38:04,800","00:38:08,169","- No, you don't.
- No, I don't.
"
2,3,504,"00:38:15,077","00:38:17,779","What is the meaning
of this?
"
2,3,505,"00:38:17,814","00:38:19,815","No, please, please.
"
2,3,506,"00:38:19,849","00:38:22,250","You disappoint me,
Grand Maester.
"
2,3,507,"00:38:22,284","00:38:25,020","I am your loyal servant.
"
2,3,508,"00:38:25,054","00:38:26,856","So loyal that you told
the Queen about my plans
"
2,3,509,"00:38:26,881","00:38:28,486","to send Myrcella to Dorne.
"
2,3,510,"00:38:28,524","00:38:30,291","No! Never!
"
2,3,511,"00:38:30,326","00:38:32,961","It's a falsehood.
I swear it.
"
2,3,512,"00:38:32,995","00:38:34,463","It wasn't me.
"
2,3,513,"00:38:34,497","00:38:36,198","Ah, Varys.
"
2,3,514,"00:38:36,232","00:38:39,334","It was Varys
the spider.
"
2,3,515,"00:38:39,369","00:38:43,505","See, I told Varys that I was giving
the Princess to the Greyjoys.
"
2,3,516,"00:38:43,539","00:38:48,076","I told Littlefinger that I planned
to wed her to Robin Arryn.
"
2,3,517,"00:38:48,110","00:38:51,547","I told no one that I was
offering her to the Dornish.
"
2,3,518,"00:38:52,482","00:38:54,149","No one but you.
"
2,3,519,"00:38:54,184","00:38:56,718","The eunuch has
spies everywhere.
"
2,3,520,"00:38:56,753","00:38:59,154","Cut off his manhood
and feed it to the goats.
"
2,3,521,"00:38:59,188","00:39:01,623","- No, no, no.
- There are no goats, halfman.
"
2,3,522,"00:39:01,657","00:39:03,692","Well, make do.
"
2,3,523,"00:39:05,795","00:39:08,097","How long have you
been spying for my sister?
"
2,3,524,"00:39:08,131","00:39:10,733","All I did, I did
for House Lannister.
"
2,3,525,"00:39:10,767","00:39:13,235","<i>Always. Your lord father,</i>
<i>ask him.</i>
"
2,3,526,"00:39:13,270","00:39:15,070","I've always been
his servant
"
2,3,527,"00:39:15,105","00:39:17,006","since the days
of the Mad King.
"
2,3,528,"00:39:18,576","00:39:21,645","- I don't like his beard.
- What?
"
2,3,529,"00:39:21,680","00:39:23,481","What?
Oh, no. No.
"
2,3,530,"00:39:26,619","00:39:29,788","How many hands have you
betrayed, Pycelle?
"
2,3,531,"00:39:29,822","00:39:32,257","Eddard Stark?
Jon Arryn?
"
2,3,532,"00:39:32,292","00:39:34,025","Lord Arryn,
he knew.
"
2,3,533,"00:39:34,060","00:39:36,995","He knew the truth
about the queen.
"
2,3,534,"00:39:37,029","00:39:40,631","And, well,
he planned to act,
"
2,3,535,"00:39:40,666","00:39:42,500","to tell King Robert.
"
2,3,536,"00:39:42,534","00:39:43,834","So you poisoned him?
"
2,3,537,"00:39:43,869","00:39:46,236","No. Never.
"
2,3,538,"00:39:46,271","00:39:49,105","But you let him die,
made sure he succumbed.
"
2,3,539,"00:39:49,140","00:39:51,674","Lannister--
I always served Lannister.
"
2,3,540,"00:39:51,709","00:39:54,376","Get him out of my sight.
Throw him in one of the black cells.
"
2,3,541,"00:39:54,411","00:39:56,278","Oh, no. No, no, no.
No, please.
"
2,3,542,"00:39:56,313","00:39:58,480","<i>Don't!</i>
<i>You can't do this to me!</i>
"
2,3,543,"00:40:00,083","00:40:01,283","For your trouble.
"
2,3,544,"00:40:25,573","00:40:28,175","You'll be pleased to know
our mutual friend
"
2,3,545,"00:40:28,209","00:40:31,611","<i>is doing quite well</i>
<i>in Lady Sansa's service.</i>
"
2,3,546,"00:40:31,645","00:40:35,014","Good.
One of my better ideas.
"
2,3,547,"00:40:35,048","00:40:37,383","And it seems
the Grand Maester
"
2,3,548,"00:40:37,417","00:40:39,852","has found his way
into a black cell.
"
2,3,549,"00:40:41,821","00:40:44,322","Well played,
My Lord Hand.
"
2,3,550,"00:40:45,558","00:40:47,758","But should I be worried?
"
2,3,551,"00:40:47,793","00:40:49,760","Janos Slynt,
Pycelle--
"
2,3,552,"00:40:49,795","00:40:53,097","the small council
grows smaller every day.
"
2,3,553,"00:40:53,132","00:40:56,000","The council has a reputation
for serving past Hands poorly.
"
2,3,554,"00:40:56,034","00:40:59,170","I don't mean to follow
Ned Stark to the grave.
"
2,3,555,"00:41:00,205","00:41:03,574","Power is a curious thing,
My Lord.
"
2,3,556,"00:41:03,609","00:41:05,743","Are you fond of riddles?
"
2,3,557,"00:41:05,778","00:41:07,745","Why, am I about
to hear one?
"
2,3,558,"00:41:07,780","00:41:10,214","Three great men
sit in a room.
"
2,3,559,"00:41:10,249","00:41:12,851","A king, a priest
and a rich man.
"
2,3,560,"00:41:12,885","00:41:15,654","Between them stands
a common Sellsword.
"
2,3,561,"00:41:15,688","00:41:19,625","<i>Each great man bids the</i>
<i>Sellsword kill the other two.</i>
"
2,3,562,"00:41:19,660","00:41:22,428","Who lives, who dies?
"
2,3,563,"00:41:22,463","00:41:24,698","Depends on the Sellsword.
"
2,3,564,"00:41:24,732","00:41:26,867","Does it?
He has neither crown
"
2,3,565,"00:41:26,901","00:41:29,136","nor gold nor favor
with the Gods.
"
2,3,566,"00:41:29,170","00:41:31,405","He has a sword,
the power of life and death.
"
2,3,567,"00:41:31,439","00:41:33,574","But if it's swordsmen
who rule,
"
2,3,568,"00:41:33,608","00:41:36,110","why do we pretend
Kings hold all the power?
"
2,3,569,"00:41:36,144","00:41:38,879","<i>When Ned Stark</i>
<i>lost his head,</i>
"
2,3,570,"00:41:38,913","00:41:41,715","<i>who was truly responsible?</i>
"
2,3,571,"00:41:41,749","00:41:44,084","Joffrey?
The executioner?
"
2,3,572,"00:41:44,118","00:41:45,685","Or something else?
"
2,3,573,"00:41:45,720","00:41:48,054","I've decided
I don't like riddles.
"
2,3,574,"00:41:50,625","00:41:55,295","Power resides where
men believe it resides.
"
2,3,575,"00:41:55,330","00:41:57,197","It's a trick,
"
2,3,576,"00:41:57,231","00:41:59,967","a shadow on the wall.
"
2,3,577,"00:42:00,001","00:42:03,838","And a very small man
"
2,3,578,"00:42:03,872","00:42:06,407","can cast a very large shadow.
"
2,3,579,"00:42:46,415","00:42:48,917","You should be sleeping.
"
2,3,580,"00:42:48,951","00:42:52,219","Tomorrow's a long march.
"
2,3,581,"00:42:52,254","00:42:55,222","30 miles if it
don't piss on us.
"
2,3,582,"00:42:56,524","00:42:58,158","I can't sleep.
"
2,3,583,"00:43:02,797","00:43:04,697","I don't like the taste.
"
2,3,584,"00:43:07,134","00:43:10,369","Well...
"
2,3,585,"00:43:10,403","00:43:14,106","You don't drink it
for the flavor, to be honest.
"
2,3,586,"00:43:21,747","00:43:23,214","What?
"
2,3,587,"00:43:23,248","00:43:26,817","How do you sleep?
"
2,3,588,"00:43:26,852","00:43:29,053","Same as most men,
I think.
"
2,3,589,"00:43:29,087","00:43:31,755","But you've seen things,
"
2,3,590,"00:43:31,789","00:43:35,059","horrible things.
"
2,3,591,"00:43:35,093","00:43:37,729","Aye.
"
2,3,592,"00:43:37,763","00:43:40,765","I've seen some
pretty things, too,
"
2,3,593,"00:43:40,800","00:43:43,035","but not nearly so many.
"
2,3,594,"00:43:43,069","00:43:46,473","How do you sleep
when you--
"
2,3,595,"00:43:48,676","00:43:53,013","when you have those
things in your head?
"
2,3,596,"00:43:54,816","00:43:57,785","You didn't see that.
"
2,3,597,"00:43:57,819","00:43:59,387","I made damn sure.
"
2,3,598,"00:43:59,421","00:44:01,656","I close my eyes
and I see them up there.
"
2,3,599,"00:44:03,125","00:44:05,427","All of them
"
2,3,600,"00:44:05,461","00:44:08,063","standing there--
"
2,3,601,"00:44:08,098","00:44:10,665","Joffrey,
"
2,3,602,"00:44:10,700","00:44:13,268","the Queen,
"
2,3,603,"00:44:13,303","00:44:15,670","and--
"
2,3,604,"00:44:15,705","00:44:18,106","and my sister.
"
2,3,605,"00:44:26,515","00:44:31,018","You know, we've got something
in common, me and you.
"
2,3,606,"00:44:31,052","00:44:33,387","You know that?
"
2,3,607,"00:44:33,421","00:44:35,957","I must have been
"
2,3,608,"00:44:35,991","00:44:38,460","a couple of years
older than you.
"
2,3,609,"00:44:40,396","00:44:42,765","I saw my brother stabbed
through the heart
"
2,3,610,"00:44:42,800","00:44:44,834","<i>right on our doorstep.</i>
"
2,3,611,"00:44:44,868","00:44:48,404","<i>He weren't much of a villain</i>
<i>what skewered him.</i>
"
2,3,612,"00:44:48,439","00:44:51,040","<i>Willem, the lad's name was.</i>
"
2,3,613,"00:44:53,010","00:44:55,912","He ran off before
anyone could spit.
"
2,3,614,"00:44:55,947","00:44:59,149","And I just stood there,
"
2,3,615,"00:44:59,183","00:45:01,852","watching my brother die.
"
2,3,616,"00:45:03,120","00:45:06,156","<i>But here's the funny part.</i>
"
2,3,617,"00:45:06,190","00:45:09,393","I can't picture
my brother's face anymore.
"
2,3,618,"00:45:09,427","00:45:12,062","<i>But Willem--</i>
"
2,3,619,"00:45:12,097","00:45:15,066","oh, he was
a nice-looking boy.
"
2,3,620,"00:45:16,502","00:45:18,869","He had good white teeth,
"
2,3,621,"00:45:18,904","00:45:21,206","blue eyes,
"
2,3,622,"00:45:21,240","00:45:24,976","<i>one of those dimpled chins</i>
<i>all the girls like.</i>
"
2,3,623,"00:45:27,180","00:45:30,215","<i>I would think about him</i>
<i>when I was working,</i>
"
2,3,624,"00:45:30,249","00:45:34,319","when I was drinking,
when I was having a shit.
"
2,3,625,"00:45:34,353","00:45:36,621","It got to the point
"
2,3,626,"00:45:36,656","00:45:39,891","where I would say his name
every night before I went to bed.
"
2,3,627,"00:45:39,925","00:45:42,426","Willem. Willem.
"
2,3,628,"00:45:42,461","00:45:45,196","<i>Willem.</i>
"
2,3,629,"00:45:45,230","00:45:47,398","A prayer almost.
"
2,3,630,"00:45:49,167","00:45:51,835","<i>Well, one day...</i>
"
2,3,631,"00:45:53,004","00:45:56,907","<i>Willem came riding</i>
<i>back into town.</i>
"
2,3,632,"00:45:59,276","00:46:03,113","I buried an ax so deep
into Willem's skull,
"
2,3,633,"00:46:03,147","00:46:06,950","<i>they had to bury</i>
<i>him with it.</i>
"
2,3,634,"00:46:06,984","00:46:10,287","Willem's horse
got me to the Wall
"
2,3,635,"00:46:10,321","00:46:13,089","and I've been wearing
black ever since.
"
2,3,636,"00:46:17,095","00:46:19,097","Well...
"
2,3,637,"00:46:19,131","00:46:22,100","that'll help you sleep, eh?
"
2,3,638,"00:46:28,275","00:46:29,542","Ho!
"
2,3,639,"00:46:29,576","00:46:32,745","Get up, you lazy
sons of whores!
"
2,3,640,"00:46:32,779","00:46:35,648","Arm yourselves.
"
2,3,641,"00:46:35,682","00:46:37,316","- Get up.
- Get up.
"
2,3,642,"00:46:37,351","00:46:39,218","Keep out of sight,
both of you.
"
2,3,643,"00:46:39,252","00:46:40,786","- No, I'm not afraid.
- I can fight.
"
2,3,644,"00:46:40,820","00:46:43,055","Keep out of sight.
"
2,3,645,"00:46:43,089","00:46:45,657","If things go wrong,
you run.
"
2,3,646,"00:46:45,691","00:46:46,920","Do you hear me?
"
2,3,647,"00:46:46,945","00:46:49,627","You run along North
and don't look back.
"
2,3,648,"00:46:49,862","00:46:52,397","Hey, there's men
out there
"
2,3,649,"00:46:52,431","00:46:54,667","who want to fuck
your corpses.
"
2,3,650,"00:46:54,701","00:46:57,369","Outside, now!
"
2,3,651,"00:46:58,572","00:47:00,640","<i>Come on, move, move!</i>
"
2,3,652,"00:47:02,476","00:47:04,111","Gold Cloaks!
"
2,3,653,"00:47:10,052","00:47:11,953","Everyone out!
"
2,3,654,"00:47:15,758","00:47:19,594","Hey, you!
Open the damn cage!
"
2,3,655,"00:47:23,133","00:47:24,934","Where's the bastard, Crow?
"
2,3,656,"00:47:24,968","00:47:27,738","Got more than a few bastards here.
Who's asking?
"
2,3,657,"00:47:27,772","00:47:30,507","Ser Amory Lorch, sworn Bannerman
to Lord Tywin Lannister.
"
2,3,658,"00:47:30,542","00:47:34,711","<i>These men from the capital</i>
<i>requested our assistance.</i>
"
2,3,659,"00:47:34,745","00:47:36,612","Drop your weapons
in the name of the King.
"
2,3,660,"00:47:36,647","00:47:38,681","Now, which King
would that be?
"
2,3,661,"00:47:38,715","00:47:40,616","This is your last chance.
"
2,3,662,"00:47:40,650","00:47:43,351","In the name
of King Joffrey,
"
2,3,663,"00:47:43,385","00:47:45,620","drop your weapons.
"
2,3,664,"00:47:47,389","00:47:51,091","I don't think I will.
"
2,3,665,"00:47:51,125","00:47:53,293","So be it.
"
2,3,666,"00:47:55,997","00:47:59,533","I always hated crossbows.
Take too long to load.
"
2,3,667,"00:48:37,341","00:48:39,475","Boy, come here.
Boy!
"
2,3,668,"00:48:39,509","00:48:43,045","- Sweet boy, help us.
- Come back here!
"
2,3,669,"00:48:43,079","00:48:44,346","Help us, boy!
"
2,3,670,"00:48:48,184","00:48:50,919","A man can fight!
Free us!
"
2,3,671,"00:48:57,393","00:48:59,895","Quick, give it to me.
"
2,3,672,"00:49:01,531","00:49:04,099","Give me the ax.
Give me that.
"
2,3,673,"00:49:12,475","00:49:14,108","<i>Put 'em on the wagon!</i>
"
2,3,674,"00:49:14,143","00:49:16,110","<i>There's more here.</i>
<i>Come on.</i>
"
2,3,675,"00:49:21,383","00:49:24,885","What do we have here?
"
2,3,676,"00:49:24,919","00:49:26,886","No!
"
2,3,677,"00:49:26,921","00:49:30,356","That's a fine
little blade.
"
2,3,678,"00:49:30,391","00:49:32,792","Maybe I'll pick
my teeth with it.
"
2,3,679,"00:49:32,826","00:49:34,627","I yield!
I yield!
"
2,3,680,"00:49:34,662","00:49:36,897","<i>Round up any survivors.</i>
"
2,3,681,"00:49:36,931","00:49:38,999","We'll take them back
to Harrenhal.
"
2,3,682,"00:49:39,033","00:49:42,170","You heard him.
You're coming with us.
"
2,3,683,"00:49:42,204","00:49:44,706","I yield!
"
2,3,684,"00:49:49,078","00:49:51,080","Help!
"
2,3,685,"00:49:51,114","00:49:53,216","Help me!
"
2,3,686,"00:49:56,753","00:49:58,454","Something wrong
with your leg, boy?
"
2,3,687,"00:49:58,489","00:50:00,490","Look at it.
"
2,3,688,"00:50:08,332","00:50:09,966","Can you walk?
"
2,3,689,"00:50:10,000","00:50:12,735","No.
You got to carry me.
"
2,3,690,"00:50:13,771","00:50:15,939","All right.
"
2,3,691,"00:50:29,254","00:50:31,789","Carry him, he says.
"
2,3,692,"00:50:40,365","00:50:42,766","We're looking for
a bastard named Gendry.
"
2,3,693,"00:50:42,801","00:50:45,803","<i>Give him up</i>
"
2,3,694,"00:50:45,837","00:50:48,105","or I'll start
taking eyeballs.
"
2,3,695,"00:51:00,519","00:51:02,186","You want Gendry?
"
2,3,696,"00:51:05,624","00:51:07,925","You already got him.
"
2,3,697,"00:51:12,096","00:51:14,598","<i>He loved that helmet.</i>
"
2,3,698,"00:51:29,068","00:51:33,068","== sync, corrected by <font color=""#00ff00"">elderman</font> ==
"
2,4,1,"00:00:07,650","00:00:10,184","<i>( Theme music playing )</i>
"
